办公类,502胶水、胶布、胶棒、卷笔刀、浆糊、胶画、胶泥、记号笔、胶水、碱性电池、胶纸；
办公类,白板笔、白板擦、笔袋、不干胶纸、笔壳、玻璃胶、便利贴、标签、标签纸、便签纸、便条贴、丙烯颜料、便纸、编织袋；
办公类,彩色笔、草稿纸、尺；
办公类,电池(1号无汞)、电池<span 号无汞)、电池(7号无汞<span 、带胶制品、吊牌、订书针、订书机钉、订书钉、大头针、大头钉；
办公类,废弃纸张、封箱带、复写纸、废纸、防碎气泡膜、防震膜；
办公类,钢笔、干电池(无汞)、广告颜料、高密度碎纸机处理的碎纸、固体胶；
办公类,画笔、红笔、黑笔、黑板擦、回形针、徽章；
办公类,捆绑带、快递包装袋、快递单、快递袋、快递贴纸；
办公类,蜡笔、蜡油、蜡烛、蜡烛包装、蜡烛塑料膜；
办公类,毛笔、毛笔写过的纸、墨胆(墨水笔)、密封袋、马克笔、棉绳、明信片、麻袋；
宠物类,包裹着宠物便便的报纸、包裹着宠物便便的塑料袋、包裹着宠物便便的纸巾、包裹着宠物便便的膨润土猫砂；
宠物类,宠物尿垫、宠物饲料包装袋、宠物毛发、宠物尿垫、宠物罐头；
宠物类,沸石猫砂；
宠物类,硅胶猫砂；
宠物类,混合猫砂、荷兰猪毛；
厨卫类,冰袋、包裹着鸡蛋壳的纸巾、包裹着西瓜籽的纸巾、保冷剂、被污染的垃圾袋、保鲜冰袋、保鲜袋、保鲜膜、冰箱贴、百洁布；
厨卫类,菜板、醋包、醋袋、厨房手套、厨房用纸、厨房纸巾、储奶袋、菜叶包、瓷酒瓶、擦手巾、擦纸巾、擦碗布、草纸、搓澡巾<span
厨卫类,电动牙刷刷头、带油抹布；
厨卫类,发泡网、发热包、防油纸、肥皂、碎瓷砖；
厨卫类,干冰、干冰袋、干发巾、过滤袋、钢丝球、固体清香剂、干燥剂、食品干燥剂、硅藻泥；
厨卫类,火柴、海绵、海绵蛋、烘焙纸；
厨卫类,净化器滤芯、旧毛巾、卷筒纸、卷筒纸外包装、卷筒纸内芯、酱油包装袋、酱油袋、旧牙刷；
厨卫类,咖啡杯盖、咖啡胶囊、竹筷；
厨卫类,滤网、滤纸、炉渣、滤尘袋；
厨卫类,抹布、木瓶塞、马桶刷；
果食类,菠萝蜜核、碧根果壳；
果食类,核桃壳；
果食类,榴莲核、榴莲壳；
果食类,长寿果壳；
花植类,肥料；
花植类,花篮、花盆、花泥、灰土；
客厅类,包裹着鼻涕的纸巾、包裹着口香糖的纸巾、包裹着痰的纸巾、鼻涕纸、被油渍污染的报纸、杯子、壁纸、别针；
客厅类,茶包、磁带、擦过的鼻涕纸巾、茶壶、唱片、除湿包、除湿袋、除湿盒、除湿剂、超市塑料袋、抽纸塑料袋、瓷碎片、茶杯、草席；
客厅类,打火机、电话卡、碟片、袋泡茶、电子烟烟弹、地板蜡；
客厅类,耳塞；
客厅类,光碟、光盘、光碟包、硅胶手环；
客厅类,活性炭、灰尘、红茶包、红酒塞；
客厅类,魔方、马夹袋、面巾纸、面巾纸包装纸、马克杯、灭蚊灯、灭蚊片；
美妆类,保湿喷雾；
美妆类,唇釉、彩妆；
美妆类,痘痘贴、冻干粉面膜；
美妆类,粉饼、粉笔、粉饼盒、粉底、粉尘、发带、粉底液、发胶、发夹、发蜡、粉扑、发卡、防晒喷雾、防晒霜；
美妆类,过期护肤品、过期防晒霜、过期化妆品、过期口红；
美妆类,护理垫、护肤品、护发精油、海绵粉扑、护手霜、化妆镜(非大型类、化妆品密封塑料膜、化妆品瓶盖、化妆棉、化妆刷；
美妆类,假睫毛、假睫毛胶水、睫毛膏；
美妆类,口红、口红盒；
美妆类,刘海夹；
美妆类,眉笔、眉粉、面膜、面膜包装袋、面膜外层纸、摩丝罐、磨砂膏、美瞳、美瞳包装、沐浴球、美妆蛋、木质梳子；
票据类,车票；
票据类,登机牌、电影票；
票据类,发票；
票据类,购物卡、购物小票；
票据类,火车票；
其他类,鞭炮、爆竹；
人体类,鼻毛、鼻屎；
人体类,耳屎；
人体类,胡须、胡渣；
人体类,假发、假牙、脚指甲；
人体类,毛发；
生蔬类,棒骨、贝壳、鲍鱼壳；
生蔬类,蛏子壳；
生蔬类,稻草、大龙虾壳、大龙虾头；
生蔬类,蛤蜊壳；
生蔬类,海螺壳、花蛤壳、海胆壳、河蚌壳；
生蔬类,甲鱼壳；
生蔬类,牡蛎壳；
食品类,棒冰包装袋、棒冰棍、冰棒皮、棒棒糖棒子、饼干包装袋、饼干袋、冰淇淋包装袋、冰淇淋纸；
食品类,串串纸杯、串串竹签、成分复杂的制品、餐饮外卖盒；
食品类,打包盒、豆腐盒、蛋糕袋、蛋糕盒、蛋黄酥包装盒、豆浆杯、豆浆杯盖、滴漏式咖啡、大米袋；
食品类,方便面包装袋、方便面叉子、方便面调羹、方便面桶、方便面调味包、番茄酱包装袋、废弃食品袋、饭团包装；
食品类,果冻包装盒、果冻壳、关东煮纸杯、挂耳咖啡、干净无油食品包装袋；
食品类,火腿肠包装纸、黄油包装纸；
食品类,芥末包装、胶囊咖啡；
食品类,快餐盒、烧串棒、口香糖；
食品类,绿豆包装、滤挂咖啡、炼乳壳、零食包装袋、辣条包装袋、冷饮包装、冷饮包装纸、卤料包；
食品类,面包袋、面粉袋、面条包装袋、魔芋粉包装；
卧室类,电蚊香片、电蚊香液瓶、逗猫棒、带有婴儿便便的尿不湿/纸尿裤；
卧室类,防潮袋、防腐剂、防霉防蛀片、防蚊贴、风油精、风油精瓶、防蚊手环；
卧室类,旧镜子、旧衣服、镜子；
卧室类,空气清新剂、空调滤芯、扣子；
卧室类,老花眼镜、拉链、凉席、晾衣架；
卧室类,墨镜、毛衣针；
医药类,艾草灰、艾草贴、艾灸条、艾灸贴、艾灸渣、安全套包装袋、安全套；
医药类,冰宝宝贴、冰贴、鼻贴、避孕套、避孕套包装、避孕套包装盒；
医药类,成人用品、创口贴、测血糖试纸、测血糖针；
医药类,碘酒棉球；
医药类,飞机杯；
医药类,干草、干草包装袋；
医药类,酒精棉花、酒精棉片、酒精棉球、旧口罩；
医药类,口罩；
医药类,棉棒、棉花棒、棉花球、棉签、棉球、棉柔巾、棉线；
